"K","Pred_unsuccessful_Ref_unsuccessful","Pred_successful_Ref_unsuccessful","Pred_unsuccessful_Ref_successful","Pred_successful_Ref_successful","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","cm_ts","AUROC"
20,1476,27,19,477,0.976988494247124,0.938657747132816,0.969424133478773,0.983104595646103,0.751875937968984,1.48111508929016e-176,0.302028228109777,0.961693548387097,0.982035928143713,0.946428571428571,0.987290969899666,0.946428571428571,0.961693548387097,0.954,0.248124062031016,0.238619309654827,0.252126063031516,0.971864738265405,2024-04-01 19:26:03.465513,0.997668641212199
21,1476,27,19,477,0.976988494247124,0.938657747132816,0.969424133478773,0.983104595646103,0.751875937968984,1.48111508929016e-176,0.302028228109777,0.961693548387097,0.982035928143713,0.946428571428571,0.987290969899666,0.946428571428571,0.961693548387097,0.954,0.248124062031016,0.238619309654827,0.252126063031516,0.971864738265405,2024-04-01 19:26:03.501827,0.99767400682506
22,1476,27,19,477,0.976988494247124,0.938657747132816,0.969424133478773,0.983104595646103,0.751875937968984,1.48111508929016e-176,0.302028228109777,0.961693548387097,0.982035928143713,0.946428571428571,0.987290969899666,0.946428571428571,0.961693548387097,0.954,0.248124062031016,0.238619309654827,0.252126063031516,0.971864738265405,2024-04-01 19:26:03.541826,0.997730345760093
23,1476,27,19,477,0.976988494247124,0.938657747132816,0.969424133478773,0.983104595646103,0.751875937968984,1.48111508929016e-176,0.302028228109777,0.961693548387097,0.982035928143713,0.946428571428571,0.987290969899666,0.946428571428571,0.961693548387097,0.954,0.248124062031016,0.238619309654827,0.252126063031516,0.971864738265405,2024-04-01 19:26:03.587234,0.997726321550447
24,1476,27,19,477,0.976988494247124,0.938657747132816,0.969424133478773,0.983104595646103,0.751875937968984,1.48111508929016e-176,0.302028228109777,0.961693548387097,0.982035928143713,0.946428571428571,0.987290969899666,0.946428571428571,0.961693548387097,0.954,0.248124062031016,0.238619309654827,0.252126063031516,0.971864738265405,2024-04-01 19:26:03.687298,0.997727662953663
25,1477,26,19,477,0.977488744372186,0.939950935398275,0.969993121598512,0.983533875425957,0.751875937968984,1.05477443505358e-177,0.371093369522698,0.961693548387097,0.98270126413839,0.94831013916501,0.987299465240642,0.94831013916501,0.961693548387097,0.954954954954955,0.248124062031016,0.238619309654827,0.251625812906453,0.972197406262743,2024-04-01 19:26:03.736783,0.997704859099006
26,1476,27,19,477,0.976988494247124,0.938657747132816,0.969424133478773,0.983104595646103,0.751875937968984,1.48111508929016e-176,0.302028228109777,0.961693548387097,0.982035928143713,0.946428571428571,0.987290969899666,0.946428571428571,0.961693548387097,0.954,0.248124062031016,0.238619309654827,0.252126063031516,0.971864738265405,2024-04-01 19:26:03.780678,0.997649861567188
27,1476,27,19,477,0.976988494247124,0.938657747132816,0.969424133478773,0.983104595646103,0.751875937968984,1.48111508929016e-176,0.302028228109777,0.961693548387097,0.982035928143713,0.946428571428571,0.987290969899666,0.946428571428571,0.961693548387097,0.954,0.248124062031016,0.238619309654827,0.252126063031516,0.971864738265405,2024-04-01 19:26:03.82954,0.99759486403537
28,1476,27,19,477,0.976988494247124,0.938657747132816,0.969424133478773,0.983104595646103,0.751875937968984,1.48111508929016e-176,0.302028228109777,0.961693548387097,0.982035928143713,0.946428571428571,0.987290969899666,0.946428571428571,0.961693548387097,0.954,0.248124062031016,0.238619309654827,0.252126063031516,0.971864738265405,2024-04-01 19:26:03.881362,0.997588157019295
29,1476,27,20,476,0.976488244122061,0.937282088082642,0.968855938103601,0.982674499069712,0.751875937968984,2.03449997995851e-175,0.38147056115119,0.959677419354839,0.982035928143713,0.946322067594433,0.986631016042781,0.946322067594433,0.959677419354839,0.952952952952953,0.248124062031016,0.238119059529765,0.251625812906453,0.970856673749276,2024-04-01 19:26:03.927468,0.997602912454661
30,1476,27,19,477,0.976988494247124,0.938657747132816,0.969424133478773,0.983104595646103,0.751875937968984,1.48111508929016e-176,0.302028228109777,0.961693548387097,0.982035928143713,0.946428571428571,0.987290969899666,0.946428571428571,0.961693548387097,0.954,0.248124062031016,0.238619309654827,0.252126063031516,0.971864738265405,2024-04-01 19:26:03.981535,0.997617667890026
31,1474,29,19,477,0.975987993996999,0.936076575934382,0.968288511308784,0.982243611091748,0.751875937968984,2.73503436612505e-174,0.193930852282411,0.961693548387097,0.980705256154358,0.942687747035573,0.987273945077026,0.942687747035573,0.961693548387097,0.952095808383233,0.248124062031016,0.238619309654827,0.253126563281641,0.971199402270727,2024-04-01 19:26:04.040564,0.997555963342133
32,1475,28,18,478,0.976988494247124,0.938740051937116,0.969424133478773,0.983104595646103,0.751875937968984,1.48111508929016e-176,0.18451609080341,0.963709677419355,0.981370592149035,0.944664031620553,0.987943737441393,0.944664031620553,0.963709677419355,0.954091816367265,0.248124062031016,0.23911955977989,0.253126563281641,0.972540134784195,2024-04-01 19:26:04.132887,0.997668641212199
